2003 yılında Türkiye'de inek sütü üretimi ne kadar olmuştur?,2003 yılında inek sütü üretimi 9.5 milyon ton olmuştur.
Türkiye'de 2003 yılında yumurta üretim miktarı ne kadar olmuştur?,2003 yılında yumurta üretim miktarı 0.79 milyon ton olmuştur.
Türkiye'de 2003 yılında bal üretim miktarı ne kadar olmuştur?,2003 yılında bal üretim miktarı 69 bin ton olmuştur.
2003 yılında sığır eti verimi ne kadar olmuştur?,2003 yılında sığır eti verimi 182.56 kg/baş olmuştur.
2003 yılında yumurta verimi kaç adet/baş olarak gerçekleşmiştir?,2003 yılında yumurta verimi 209.71 adet/baş olarak gerçekleşmiştir.
Kovan başına bal verimi 2003 yılında ne kadar olmuştur?,Kovan başına bal verimi 2003 yılında 16.21 kg/kovan olmuştur.
2003 yılında toplam su ürünleri üretiminin yüzde kaçı deniz ürünlerinin avlanması sonucunda elde edilmiştir?,2003 yılında toplam su ürünleri üretiminin %78.8'i deniz ürünlerinin avlanması sonucunda elde edilmiştir.
2003 yılında kültür ürünlerinin toplam su ürünleri üretimine oranı nedir?,2003 yılında kültür ürünlerinin toplam su ürünleri üretimine oranı %13.6'dır.
1995 yılında toplam su ürünleri üretim miktarı ne kadar olmuştur?,1995 yılında toplam su ürünleri üretim miktarı 649 bin ton olmuştur.
2003 yılında Türkiye'deki toplam su ürünleri üretimi ne kadar olmuştur?,2003 yılında Türkiye'deki toplam su ürünleri üretimi 587715 ton olmuştur.
Türkiye'de sulamaya açılan toplam alan ne kadardır?,4.09 milyon hektar
DSİ tarafından sulamaya açılan alanların yüzdesi nedir?,%53
Ege Bölgesi'nde en çok hangi su kaynağı kullanılmaktadır?,Yeraltı suları (%38.74)
DSİ tarafından sulanan alanların en büyük yüzdesi hangi bölgede bulunmaktadır?,Orta Anadolu (%23.4)
Türkiye'de sulama yöntemlerinin en yaygın olanı nedir?,Yüzey sulama yöntemleri (%95.93)
Orta-Güney Bölgelerinde hangi su kaynağı daha yoğun kullanılmaktadır?,Kuyu suları (%58.44)
DSİ tarafından VI. bölgede arazilerin hangi yüzdesi damla yöntemiyle sulanmaktadır?,%47.13
Köy Hizmetleri Genel Müdürlüğü tarafından hangi sulama yöntemleri kullanılmaktadır?,"Köy Hizmetleri Genel Müdürlüğü tarafından yapılan sulama sistemleri, en fazla yüzey ve kısmen yağmurlama yöntemlerine göre planlanıp inşa edilmektedir."
İç Anadolu Bölgesinde hektara ne kadar buğday tohumluğu kullanılmaktadır?,İç Anadolu Bölgesinde hektara 215.8 kg buğday tohumluğu kullanılmaktadır.
Türkiye'de tohumculuk hangi yıllardan sonra rekabetçi bir kimlik kazanmıştır?,"Türkiye'de tohumculuk, 1980'li yıllardan sonra rekabetçi bir kimlik kazanmıştır."
1990 ve 2003 yılları arasında buğday tohumluğu üretiminde ne kadar azalma olmuştur?,1990'da 247033 ton olan buğday tohumluğu üretimi %59.7 azalarak 2003'de 99495 ton olmuştur.
1990-2003 yılları arasında hibrit mısır tohumluğu üretimi ne kadar artmıştır?,1990'da 3845 ton olan hibrit mısır tohumluğu üretimi 2003'de 21388 tona ulaşarak yaklaşık 5.5 kat artış göstermiştir.
"Özel sektör, hangi tür tohumluk üretiminde önemli gelişmeler kaydetmiştir?","Özel sektör, hibrit tohumluk üretiminde ve özellikle hibrit mısır tohumluğunda önemli gelişmeler kaydetmiştir."
Tohumluk dağıtımı kamu sektöründe hangi kuruluşlar aracılığıyla yapılmaktadır?,"Tohumluk dağıtımı kamu sektöründe, Toprak Mahsulleri Ofisi Genel Müdürlüğü ve Tarım Kredi Kooperatifleri Merkez Birliği vasıtasıyla yapılmaktadır."
TİGEM'in tohumluk dağıtımında hangi bitkilerde önemli bir payı vardır?,"TİGEM, özellikle tahıl, pamuk ve yem bitkileri tohumluklarının üretim ve dağıtımında önemli bir paya sahiptir."
1990 yılında buğday üretim miktarı ne kadardır?,1990 yılında buğday üretim miktarı 247033 tondur.
"2001 yılında yaşanan ekonomik kriz, tohumculuk piyasasını nasıl etkilemiştir?","2001 yılında yaşanan ekonomik kriz, tohumculuk piyasasını olumsuz etkilemiştir."
2003 yılı itibariyle tohum kullanımında nasıl bir gelişme gözlemlenmiştir?,2003 yılı itibariyle tohum kullanımında olumlu gelişmeler görülmektedir.
1991 yılında TÜGEM tarafından çiftçiye dağıtılan buğday miktarı ne kadardır?,1991 yılında TÜGEM tarafından çiftçiye dağıtılan buğday miktarı 116235 tondur.
Sertifikalı tohum kullanımı neden arzu edilen düzeyde gelişme gösterememiştir?,"Sertifikalı tohum kullanımı, ülkenin içinde bulunduğu ekonomik şartlar ve üretici gelirlerinin düşük olması nedeniyle arzu edilen düzeyde gelişme gösterememiştir."
1999 yılında pamuk üretim miktarı ne kadardır?,1999 yılında pamuk üretim miktarı 21995 tondur.
Sertifikalı tohum kullanımı ne kadar verim artışı sağlamaktadır?,%25’e varan verim ve kalite artışı sağlamaktadır.
Türkiye'de sertifikalı buğday tohumuna olan ihtiyaç ne kadardır?,En az 625 bin ton sertifikalı buğday tohumuna ihtiyaç vardır.
1990-2003 yılları arasında hangi tohumlukların fiyatlarında büyük değişiklikler olmuştur?,Özel sektörün ürettiği mısır ve ayçiçeği tohumluklarının fiyatlarında büyük değişiklikler olmuştur.
Yem Sanayi Türk A.Ş. hangi tarihten itibaren sektörden çekilmiştir?,1996 yılından itibaren sektörden çekilmiştir.
Türkiye'de faal yem fabrikalarının kapasite kullanım oranı nedir?,%50’ler dolaylarındadır.
Türkiye'de faal yem fabrikaları en çok hangi bölgelerde bulunmaktadır?,Ege ve Marmara bölgelerinde bulunmaktadır.
Yem sektöründe 1985-1989 yılları arasında hangi faktörler etkili olmuştur?,Karma Yeme olan talebin artması ve uygulanan sübvansiyonlar etkili olmuştur.
Türkiye'de 2003 yılı itibarıyla kesinleşmemiş resmi rakamlara göre ne kadar karma yem üretilmektedir?,6.284.000 ton/yıl karma yem üretilmektedir.
1960 yılından 2003 yılına kadar kanatlı yemlerin toplam yem üretimindeki payı nasıl değişmiştir?,Kanatlı yemlerin payı %59'dan %45'e düşmüştür.
Ruminant yemlerin toplam yem üretimindeki payı 1960 yılından 2003 yılına kadar nasıl değişmiştir?,Ruminant yemlerin payı %38'den %54'e yükselmiştir.
Karma yem sanayinin gelişim hızı ile hangi yem hammaddelerinin üretimindeki gelişim hızı arasında fark gözlemlenmektedir?,"Özellikle protein kaynaklı yağlı tohumlar ve küspeleri ile mısır gibi bazı enerji kaynaklı yem hammaddelerinin üretimindeki gelişim hızı, karma yem sanayinin gelişim hızının çok gerisinde kalmıştır."
1980 sonrası gübre üretiminde ne gibi bir değişim gözlemlenmiştir?,Gübre üretimi artış trendine girmiştir.
1999 yılında gübre üretimini olumsuz etkileyen olay nedir?,1999 yılında yaşanan doğal afet sonucu en büyük gübre üretici fabrikalardan biri olan İGSAŞ'ın durmasına neden olmuştur.
2001 yılında gübre üretimini olumsuz etkileyen ekonomik olay nedir?,"2001 yılında yaşanan ekonomik kriz, gübre üretimini olumsuz etkilemiştir."
1998 yılında üretim ne kadar gerilemiştir?,%91
2001 yılında yaşanan ekonomik krizin etkisinin azalması hangi yıllarda kimyevi gübre üretimini artırmıştır?,2002 ve 2003 yıllarında
2000 yılında Türkiye'nin karma yem ithalat miktarı ne kadardır?,6608 ton
2001 yılında Türkiye'nin mısır ithalat miktarı ne kadardır?,535254 ton
"2000 yılı gübre kullanımı, 1999 yılına göre ne kadar azalmıştır?",%9
Türkiye'de hektara ortalama gübre kullanım miktarı ne kadardır?,100 kg
2003 yılında Türkiye'nin gübre üretiminde potas indeksi değeri nedir?,167
Türkiye'de gübre kullanımının diğer ülkelere göre düşük olmasının nedeni nedir?,Kimyasal gübrelerin hammaddesi olan amonyak ve fosfatların tamamının ithal edilmesi ve bunun neticesinde fiyatların dolardaki ve dış piyasadaki değişmelerden doğrudan etkilenmesidir.
1993 yılında Türkiye'de toplam saf madde gübre kullanımı ne kadardır?,"1993 yılında toplam saf madde gübre kullanımı 2,207,199 kg'dır."
1990 yılında hektara atılan gübre miktarı ne kadardır?,1990 yılında hektara atılan gübre miktarı 100 kg'dır.
Türkiye'de 2000 yılında gübrelenen alanın ekilen alana oranı nedir?,2000 yılında gübrelenen alanın ekilen alana oranı %79'dur.
Pamuk için hektara kullanılan azotlu gübre miktarı nedir?,Pamuk için hektara kullanılan azotlu gübre miktarı 289.6 kg'dır.
Türkiye'de 1994 yılında fosforlu gübre kullanımı ne kadardır?,"1994 yılında fosforlu gübre kullanımı 444,347 kg'dır."
Sanayi tipi domateste hektara kullanılan potaslı gübre miktarı nedir?,Sanayi tipi domateste hektara kullanılan potaslı gübre miktarı 10.5 kg'dır.
1990 yılında insektisit üretim miktarı ne kadardır?,1990 yılında insektisit üretim miktarı 14285786 kg'dir.
1991 yılında insektisit üretimindeki düşüşün nedeni nedir?,"İlaç üretiminde kullanılan hammaddelerin çoğunun yurtdışından ithal edilmesi ve ithalat fiyatlarında meydana gelen artışlar, ayrıca böcek salgınlarının olmaması 1991 yılında insektisit üretimindeki düşüşün nedenleridir."
Herbisit üretiminde 1993 yılında ne kadar artış olmuştur?,Herbisit üretiminde 1993 yılında %60'lara varan artış olmuştur.
1996 yılında fungisit üretiminde ne kadar artış yaşanmıştır?,1996 yılında fungisit üretiminde %133'lük bir artış yaşanmıştır.
Pamuk için hektara ne kadar insektisit kullanımı önerilmektedir?,Pamuk için hektara 1.8 kg insektisit kullanımı önerilmektedir.
Buğdayda hektara ne kadar herbisit kullanımı yapılmaktadır?,Buğdayda hektara 595 gr herbisit kullanımı yapılmaktadır.
1999 yılında insektisit üretimi ne kadar azalmıştır?,1999 yılında insektisit üretimi %33'lük bir azalışla 9515782 kg miktarına düşmüştür.
Tarım kredileri hangi yıl en yüksek değerine ulaşmıştır?,2000 yılında.
Hayvansal kredi faiz oranı genellikle hangi kredi türünden daha düşük olmuştur?,Bitkisel üretim kredi faizinden daha düşük olmuştur.
1982 yılında ortalama tarımsal kredi faiz oranı ne kadardır?,20%
1998 yılında reel tarımsal kredi indeksi kaçtır?,267.39
Tarımsal mekanizasyon araçlarının tarımsal üretim girdileri içindeki etkisi nedir?,"Tarımsal üretimde işgücü verimliliğini artırır, maliyetleri düşürür, modern üretim teknolojilerinin kullanılmasını sağlar ve ürün kalitesini ve verimini artırır."
Mekanizasyon araçlarının pahalı olması ne tür bir etkide bulunmuştur?,Üreticinin satın alma gücünün azalmasına neden olmuştur.
Traktör ve biçerdöver kredilerine uygulanan faiz oranı diğer tarımsal kredi faiz oranlarından nasıl farklılık göstermektedir?,Daha yüksek olmaktadır.
1990 yılında Türkiye'de kaç traktör vardı?,"1990 yılında Türkiye'de 692,454 traktör vardı."
2003 yılında Türkiye'de 1000 hektara düşen traktör sayısı kaçtır?,2003 yılında 1000 hektara düşen traktör sayısı 56'dır.
Hangi BYKP döneminde üretilen traktör sayısı yurtiçi talebi karşılayamamıştır?,"1., 2., 3. ve 6. BYKP dönemlerinde üretilen traktör sayısı yurtiçi talebi karşılayamamıştır."
4. BYKP döneminde hedeflenen traktör sayısı ile üretilen traktör sayısı arasındaki fark nedir?,"4. BYKP döneminde hedeflenen traktör sayısı 510,210 iken üretilen traktör sayısı 370,259'dur; fark 139,951 traktördür."
1999 yılında Türkiye'de kaç pulluk vardı?,"1999 yılında Türkiye'de 866,322 pulluk vardı."
5. BYKP döneminde yurtiçi talep miktarı üretilen traktör sayısının altında mı kalmıştır?,"Evet, 5. BYKP döneminde yurtiçi talep miktarı üretilen traktör sayısının altında kalmıştır."
1996 yılında Türkiye'de kaç kültivatör vardı ve bu sayı 1990 yılına göre nasıl değişti?,"1996 yılında Türkiye'de 345,520 kültivatör vardı ve bu sayı 1990 yılına göre artış göstermiştir."
1990 yılında Türkiye'de 1000 hektara düşen traktör sayısı kaçtır?,36.70
2003 yılında Türkiye'de toplam traktör sayısı kaçtır?,997620
Hangi yıl Türkiye'de 1000 hektara düşen traktör sayısı 50'nin üzerine çıkmıştır?,1999
1995 yılında ekilen alan miktarı ne kadardır?,18464000
Ekolojik ürünlere talebin artması neyi hızlandırmıştır?,Gıda zincirinin gıda güvenliğini sağlayacak mevzuat düzenlemelerini.
Türk tarımının yapısal problemleri nasıl giderilmektedir?,Yasal düzenlemeler ve çiftçi bilinçlendirme çalışmalarıyla.
Gelecekte baskın ve yaygın üretim teknikleri olarak görülen uygulamalar nelerdir?,"Ekolojik tarım, iyi tarım uygulamaları ve Europgap."
Piyasa ekonomisinin hükümetler üzerindeki etkisi nedir?,"Piyasa ekonomisi, hükümetlerin rolünü daraltmakta ve onları sadece düzenleyici ve denetleyici olarak belirlemektedir."
Tarım sektörüne neden müdahale edilmektedir?,"Tarım sektörü, kendine has özelliklerinden dolayı diğer sektörlere göre dezavantajlıdır ve bu nedenle her ülkede bu sektöre destek anlamında müdahale edilmektedir."
Türkiye'de 2000'li yıllara kadar hangi tür tarımsal destekleme politikaları uygulanmıştır?,"Türkiye'de 2000'li yıllara kadar destekleme alımları, girdi, ürün ve kredi sübvansiyonları ve tarım kesimine yönelik diğer sübvansiyonlar uygulanmıştır."
Türkiye'de 1980'li yıllarda fiyat desteği kapsamına alınan bitkisel ürün sayısı kaçtır?,1980'li yıllarda fiyat desteği kapsamına alınan bitkisel ürün sayısı 10'a düşmüştür.
ARIP projesi hangi yıl Türkiye'nin gündemine girmiştir?,"ARIP projesi, 2000 yılında Türkiye'nin gündemine girmiştir."
ARIP projesinin üç ana unsuru nelerdir?,"ARIP projesinin üç ana unsuru: (1) Doğrudan gelir desteği, (2) Fiyat ve girdi desteklerinin aşamalı olarak kaldırılması ve (3) Tarımdaki devlet işletmelerinin özelleştirilmesidir."
2004 yılında ARIP projesinde hangi değişiklikler yapılmıştır?,2004 yılında yapılan orta dönem gözden geçirme çalışmaları sonucunda projeye yeni bileşenler eklenmiş ve 2006 yılı sonuna kadar uzatılmasına karar verilmiştir.
Tarımsal destekleme politikalarının kapsamına giren ürünlerin seçiminde hangi dengesizlik yaşanmıştır?,Destekleme kapsamına alınacak ürünlerin seçiminde hayvansal ürünler aleyhine devamlı bir dengesizlik olmuştur.
Destekleme politikalarının uygulanmasında hangi sorunlar yaşanmıştır?,"Birden fazla kurumun sorumlu olması ve kurumlar arasında uyum sağlanamaması, politikaların oluşturulması ve uygulanmasını olumsuz etkilemiştir."
Desteklemelerin bütçedeki yükü nasıl yönetilmiştir?,"Desteklemelerin bütçedeki gerçek yükü şeffaf bir biçimde ortaya koyulamamış, yükün büyük bölümü KİT’ler ve Ziraat Bankasının üzerinde görev zararlarına yol açmıştır."
Tarım politikalarının hedef kitlesi olan çiftçilerin hangi özellikleri uygulamaları güçleştirmiştir?,"Çiftçilerin eğitim seviyelerinin düşüklüğü, iyi örgütlenememeleri ve yaşlı olmaları, tarım politikalarının uygulanmasını güçleştirmiştir."
Destekleme politikaları hangi sebeplerle istikrarsızlığa yol açmıştır?,"Fiyat yoluyla destekleme alımlarının iktisadi göstergeler yerine siyasi kaygılarla belirlenmesi, üretici gelirlerinde belirsizlik yaratarak istikrarsızlığa yol açmıştır."
Türkiye’deki tarım politikalarının kısa vadeli olması hangi soruna neden olmaktadır?,"Üreticilerin uzun dönemli ve kalıcı karar vermesini engellemektedir, özellikle hayvancılıkta bu sorun daha belirgin olarak ortaya çıkmaktadır."
Tarım Reformu Uygulama Projesi (ARIP) hangi sebeplerle ortaya çıkmıştır?,Tarım politikalarında ve destekleme politikalarında ortaya çıkan sorunlar nedeniyle 2000’li yılların başında ARIP doğmuştur.
Osmanlı Dönemi'nde 'Öşür Topraklar' nasıl tanımlanmıştır?,"Öşür Topraklar, fethedilen arazilerin mülk olarak dağıtıldığı ve bu arazilerden öşür vergisi alındığı için böyle adlandırılmıştır."
Osmanlı İmparatorluğu'nda hangi topraklar 'Miri Topraklar' olarak adlandırılmıştır?,"Miri Topraklar, çıplak mülkiyeti devlete ait olan ve kullanma hakkı komutanlara verilen topraklardır."
Dirlik sisteminde 'Has' sınıfı hangi gelir aralığını kapsar ve kimlere tahsis edilir?,"Has sınıfı, 100 bin akçeden fazla gelire sahip arazileri kapsar ve padişah ile vezirlere tahsis edilir."
Osmanlı İmparatorluğu'nda hububat ihracatı neden yasaklanmıştır?,"Hububat ihracatı, ordunun, şehirlerin, kasabaların ve başkentin gıda maddeleri ihtiyacını karşılamak amacıyla yasaklanmıştır."
Zahire Nezareti'nin kuruluş amacı nedir?,"Zahire Nezareti, ordunun ihtiyacını karşılamak üzere, kendilerine ayrıcalık verilmiş tekel niteliğindeki aracıların yaptığı işi yüklenmek amacıyla 1793 yılında kurulmuştur."
